Year,Temp,Rann,Raut,Rwint,Rspr,Rsum,Rcool,HiA,HiS,HdA,HdS,LiA,LiS,LdA,LdS,SynVar
1972,0.158454545,480.9,82.93,306.29,78.93,22.18,452.18,1024.29,1022.12,6.43,5.63,1003.97,1004.1,4.35,5.77,10.78
1973,-0.941545455,723.78,145.45,365.06,189.16,22.7,665.37,1023.86,1022.68,6.09,5.85,1001.65,1002.29,4.8,5.61,10.89
1974,-0.751545455,744.31,240.24,350.65,133.43,7.26,678.86,1024.06,1022.63,6.54,8.04,1001.12,1002.65,5.03,5.5,11.57
1975,-0.731545455,611.9,171.66,301.95,129.18,92.81,556.55,1024.13,1023.01,6.32,6.77,1002.55,1003.09,4.94,6.64,11.26
1976,-0.181545455,635.55,152.7,226.36,160.62,21.62,482.37,1025.39,1020.88,7.12,8.1,1005.65,998.95,5.83,7.33,12.95
1977,-0.121545455,556.6,109.05,253.35,163.87,60.63,503.15,1025.37,1023.96,6.99,7.27,1004.97,1004.44,5.15,6.07,12.14
1978,0.028454545,658.62,132.52,317.02,140.53,53.61,560.61,1024.91,1022.37,6.93,6.22,1003.82,1003.94,4.63,6.96,11.56
1979,-0.521545455,538.29,117.59,249.43,136.71,46.79,435.97,1025.75,1023.4,7.11,9.07,1004.38,1004.91,5.19,6.53,12.3
1980,-0.561545455,620.19,131.25,280.23,135.87,51.04,520.13,1025.17,1022.7,6.14,6.47,1001.76,1000.54,4.15,6.68,10.29
1981,-0.831545455,637.85,153.82,326.77,126.78,153.88,549.73,1024.39,1023.54,6.83,5.97,1003.1,1002.32,4.36,6.95,11.19
1982,-0.491545455,609.42,66.63,273.22,114.48,47.99,410.18,1025.87,1021.72,6.42,6.49,1004.22,1003,4.8,6.14,11.22
1983,0.218454545,712.32,67.48,409.12,165.11,44.45,583.8,1024.73,1022.12,6.26,7.82,1003.36,1004.27,4.99,8.72,11.25
1984,-0.761545455,643.4,194.22,247.75,174.16,39.56,523.85,1024.58,1020.65,6.48,6.63,1003.01,999.89,5.88,6.73,12.36
1985,-0.181545455,571.67,121.8,301.4,115.51,80.69,491.94,1024.85,1022.19,6.54,6.52,1002.69,1001.73,5.12,6.19,11.66
1986,-1.111545455,580.49,112.19,286.18,108.05,7.32,463.72,1025.13,1023.91,6.49,6.94,1003.4,1003.44,4.74,6.1,11.23
1987,-0.421545455,531.4,140.94,253.64,109.02,31.78,438.77,1026.16,1023.5,6.7,8.98,1004.09,1006.58,4.64,7.52,11.34
