"","Age","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2000b","X2001b","X2002b","X2003b","X2004b","X2005b","X2006b","X2007b","X2008b","X2009b","X2010b","X2011b","X2012b","X2013b","X2014b","X2015b","X2016b","X2017b","X2018b","X2019b","X2020b","X2021b","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"41",41,50,76,2047,227,NA,79,301,69,230,264,514,522,365,777,265,611,408,230,390,211,694,2276,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,6,0,0,0,0,NA,0.0253164556962025,0,0,0,0,0,0,0,0.00386100386100386,0,0.00654664484451719,0,0,0,0,0,0.00263620386643234
"42",42,82,50,76,2047,227,NA,76,300,69,230,264,510,520,365,774,265,607,407,204,390,211,547,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,13,0,0,0,0,0,172,0,0,0,0,0,NA,0,0,0,0,0,0.0274509803921569,0.00192307692307692,0,0,0.0490566037735849,0,0,0,0,0,0.314442413162706
"43",43,532,82,50,76,1947,190,NA,76,300,69,157,264,496,519,365,770,199,607,377,204,389,211,469,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0.881578947368421,0,0,0,0,0.00526315789473684,NA,0,0,0,0,0,0.00403225806451613,0.00192678227360308,0,0.0012987012987013,0,0,0,0,0,0
"44",44,265,63,81,50,76,1947,189,NA,76,300,68,157,264,493,518,365,769,199,597,375,204,389,0,0,28,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.345679012345679,0,0,0.00256805341551104,0,NA,0,0,0,0,0.00757575757575758,0,0,0,0,0,0,0,0,0
"45",45,NA,261,63,53,50,76,1941,186,NA,76,288,68,157,262,470,518,363,716,198,597,375,204,0,0,0,0,0,3,0,0,0,0,0,0,61,0,0,43,0,0,0,0,0,29,NA,0,0,0,0,0.0394736842105263,0,0,NA,0,0,0,0.388535031847134,0,0,0.083011583011583,0,0,0,0,0,0.142156862745098
"46",46,71,NA,261,63,52,NA,73,1938,186,NA,68,288,68,96,259,463,474,362,716,197,596,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,1,0,0,0,0,129,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0.52267818574514,0.00210970464135021,0,0,0,0,0.352459016393443
"47",47,NA,71,NA,261,62,52,NA,73,1938,186,NA,68,286,68,96,256,208,473,361,716,197,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,1,0,0,0,0,91,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0.67578125,0.00480769230769231,0,0,0,0,0.154499151103565
"48",48,89,NA,NA,NA,259,62,52,NA,71,1936,147,NA,68,285,68,96,83,205,473,359,319,196,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,NA,NA,NA,0.00772200772200772,0,0,NA,0,0,0,NA,0,0,0,0.479166666666667,0,0,0,0,0,0
"49",49,NA,85,NA,NA,NA,257,62,52,NA,71,1922,147,NA,68,273,68,50,79,199,473,359,319,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,195,NA,0,NA,NA,NA,0,0,0,NA,0,0.00104058272632674,0,NA,0,0,0.176470588235294,0,0,0,0,0,0.61128526645768
"50",50,115,NA,NA,NA,NA,NA,256,62,52,NA,71,1920,147,NA,68,273,56,50,72,182,473,359,0,0,0,0,0,0,0,0,0,0,1,0,56,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0.0140845070422535,0,0.380952380952381,NA,0,0.0146520146520147,0,0,0,0,0,0
"51",51,157,115,NA,NA,NA,NA,NA,256,62,52,NA,70,1920,91,NA,68,247,56,50,64,182,473,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0.0142857142857143,0.0375,0,NA,0,0.00404858299595142,0,0,0,0,0
"52",52,NA,157,115,NA,NA,NA,NA,NA,256,61,52,NA,69,1822,91,NA,66,234,56,50,63,181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,57,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0.314917127071823
"53",53,NA,NA,157,115,NA,NA,NA,NA,NA,256,60,52,NA,57,1822,91,NA,66,234,56,NA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,20,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0.0549450549450549,NA,0.0303030303030303,0,0,NA,0.333333333333333
"54",54,NA,NA,NA,156,115,NA,NA,NA,NA,NA,251,59,52,NA,NA,1814,86,NA,64,234,56,NA,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,156,0,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.167330677290837,0,0,NA,NA,0.0859977949283352,0,NA,0,0,0,NA
"55",55,NA,NA,NA,NA,156,114,NA,NA,NA,NA,NA,145,NA,52,NA,NA,1657,86,NA,64,234,56,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,0,0.0087719298245614,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0.000603500301750151,0,NA,0,0,0
"56",56,NA,NA,NA,NA,NA,111,113,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,1655,85,NA,64,232,0,0,0,0,0,0,0,0,0,0,9,0,82,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.56551724137931,NA,NA,NA,NA,0,0,NA,0,0.0129310344827586
"57",57,NA,NA,NA,NA,NA,NA,111,112,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,1585,85,NA,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,0
